route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id
"1-S3-W-j24-1","TA+fno00","66.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19406","1",""
"1-S3-W-j24-1","TA+fno00","67.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19448","1",""
"1-S3-W-j24-1","TA+fno00","68.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19472","1",""
"1-S3-W-j24-1","TA+fno00","69.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19430","1",""
"1-S3-W-j24-1","TA+u4420","7.TA.1-S3-W-j24-1.3.R","1-S3-W-j24-1.3.R","Wien Jedlersdorf","S 22092","1","550"
"1-S3-W-j24-1","TA+fno00","70.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19428","1",""
"1-S3-W-j24-1","TA+fno00","71.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19426","1",""
"1-S3-W-j24-1","TA+fno00","72.TA.1-S3-W-j24-1.11.R","1-S3-W-j24-1.11.R","Wien Praterstern","S 19442","1",""
"1-S3-W-j24-1","TA+ic420","73.TA.1-S3-W-j24-1.12.R","1-S3-W-j24-1.12.R","Wien Floridsdorf","S 2264","1",""
"1-S3-W-j24-1","TA+i8z10","74.TA.1-S3-W-j24-1.12.R","1-S3-W-j24-1.12.R","Wien Floridsdorf","S 2264","1","552"
"1-S3-W-j24-1","TA+1hr00","75.TA.1-S3-W-j24-1.13.R","1-S3-W-j24-1.13.R","Wien Floridsdorf","S 22054","1",""
"1-S3-W-j24-1","TA+qag10","76.TA.1-S3-W-j24-1.14.R","1-S3-W-j24-1.14.R","Wien Jedlersdorf","S 22054","1",""
"1-S3-W-j24-1","TA+ies10","77.TA.1-S3-W-j24-1.15.R","1-S3-W-j24-1.15.R","Stockerau Bahnhof","S 22956","1",""
"1-S3-W-j24-1","TA+5v300","78.TA.1-S3-W-j24-1.16.R","1-S3-W-j24-1.16.R","Wien Praterstern","S 22054","1",""
"1-S3-W-j24-1","TA+5c420","79.TA.1-S3-W-j24-1.17.R","1-S3-W-j24-1.17.R","Wien Floridsdorf","S 29842","1",""
"1-S3-W-j24-1","TA+9e020","8.TA.1-S3-W-j24-1.4.R","1-S3-W-j24-1.4.R","Wien Jedlersdorf","S 22132","1","549"
"1-S3-W-j24-1","TA+5c420","80.TA.1-S3-W-j24-1.17.R","1-S3-W-j24-1.17.R","Wien Floridsdorf","S 29802","1",""
"1-S3-W-j24-1","TA+5c420","81.TA.1-S3-W-j24-1.18.R","1-S3-W-j24-1.18.R","Wien Floridsdorf","S 29862","1",""
"1-S3-W-j24-1","TA+5c420","82.TA.1-S3-W-j24-1.19.R","1-S3-W-j24-1.19.R","Wien Floridsdorf","S 29822","1",""
"1-S3-W-j24-1","TA+5c420","83.TA.1-S3-W-j24-1.20.R","1-S3-W-j24-1.20.R","Wien Floridsdorf","S 29782","1",""
"1-S3-W-j24-1","TA+qag10","84.TA.1-S3-W-j24-1.21.R","1-S3-W-j24-1.21.R","Stockerau Bahnhof","S 22152","1","553"
"1-S3-W-j24-1","TA+qag10","85.TA.1-S3-W-j24-1.21.R","1-S3-W-j24-1.21.R","Stockerau Bahnhof","S 22072","1","554"
"1-S3-W-j24-1","TA+qag10","86.TA.1-S3-W-j24-1.21.R","1-S3-W-j24-1.21.R","Stockerau Bahnhof","S 22112","1","555"
"1-S3-W-j24-1","TA+5c420","87.TA.1-S3-W-j24-1.22.R","1-S3-W-j24-1.22.R","Wien Floridsdorf","S 29266","1",""
"1-S3-W-j24-1","TA+a3520","88.TA.1-S3-W-j24-1.23.R","1-S3-W-j24-1.23.R","Wien Floridsdorf","S 22054","1",""
"1-S3-W-j24-1","TA+w6","89.TA.1-S3-W-j24-1.24.R","1-S3-W-j24-1.24.R","Hollabrunn Bahnhof","S 22814","1",""
"1-S3-W-j24-1","TA+9e020","9.TA.1-S3-W-j24-1.4.R","1-S3-W-j24-1.4.R","Wien Jedlersdorf","S 22092","1","550"
"1-S3-W-j24-1","TA+ioo00","90.TA.1-S3-W-j24-1.24.R","1-S3-W-j24-1.24.R","Hollabrunn Bahnhof","S 22694","1",""
"1-S3-W-j24-1","TA+w6","91.TA.1-S3-W-j24-1.24.R","1-S3-W-j24-1.24.R","Hollabrunn Bahnhof","S 22854","1",""
"1-S3-W-j24-1","TA+fno00","92.TA.1-S3-W-j24-1.24.R","1-S3-W-j24-1.24.R","Hollabrunn Bahnhof","S 22774","1",""
"1-S3-W-j24-1","TA+w6","93.TA.1-S3-W-j24-1.25.R","1-S3-W-j24-1.25.R","Hollabrunn Bahnhof","S 22210","1",""
"1-S3-W-j24-1","TA+ioo00","94.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22814","1",""
"1-S3-W-j24-1","TA+fno00","95.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22734","1",""
"1-S3-W-j24-1","TA+fno00","96.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22894","1",""
"1-S3-W-j24-1","TA+fno00","97.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22534","1",""
"1-S3-W-j24-1","TA+fno00","98.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22574","1",""
"1-S3-W-j24-1","TA+fno00","99.TA.1-S3-W-j24-1.26.R","1-S3-W-j24-1.26.R","Hollabrunn Bahnhof","S 22414","1",""
"1-S40-W-j24-1","TA+i5g10","1.TA.1-S40-W-j24-1.1.R","1-S40-W-j24-1.1.R","Tulln Bahnhof","S 21087","1",""
